Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,574.4964485168457
AVG. Time / Prompt,1.1489928970336913
AVG. Tokens / Second,491.69146428886427
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,282475
AVG. Output Tokens / Prompt,564.95
Total Emissions,0.047183752141716905
Emissions / 1.000.000 Input Tokens,0.10789888803400192
Emissions / 1.000.000 Output Tokens,0.1670369135028477
Emissions / 10.000 Prompts,0.943675042834338
