Metric,Value
Model,mistral_nemo_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,570.0668432712555
AVG. Time / Prompt,1.140133686542511
AVG. Tokens / Second,571.2172245124843
Total Input Tokens,460608
AVG. Input Tokens / Prompt,921.216
Total Output Tokens,325632
AVG. Output Tokens / Prompt,651.264
Total Emissions,0.043314917111429756
Emissions / 1.000.000 Input Tokens,0.0940385688295248
Emissions / 1.000.000 Output Tokens,0.13301799918751767
Emissions / 10.000 Prompts,0.866298342228595
