Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,700.878378868103
AVG. Time / Prompt,1.401756757736206
AVG. Tokens / Second,515.4046848803996
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,361236
AVG. Output Tokens / Prompt,722.472
Total Emissions,0.05635755776860286
Emissions / 1.000.000 Input Tokens,0.12887736857552518
Emissions / 1.000.000 Output Tokens,0.156013126511762
Emissions / 10.000 Prompts,1.1271511553720572
