Metric,Value
Model,mistral_nemo
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,438.7301194667816
AVG. Time / Prompt,0.8774602389335633
AVG. Tokens / Second,665.3247339270059
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,291898
AVG. Output Tokens / Prompt,583.796
Total Emissions,0.03679252341165953
Emissions / 1.000.000 Input Tokens,0.5138979455501017
Emissions / 1.000.000 Output Tokens,0.12604582221070215
Emissions / 10.000 Prompts,0.7358504682331906
