Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,387.494690656662
AVG. Time / Prompt,0.774989381313324
AVG. Tokens / Second,1035.905806398947
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,401408
AVG. Output Tokens / Prompt,802.816
Total Emissions,0.030003502116754188
Emissions / 1.000.000 Input Tokens,0.4440292746408102
Emissions / 1.000.000 Output Tokens,0.07474565060176726
Emissions / 10.000 Prompts,0.6000700423350838
