Metric,Value
Model,mistral_nemo_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,372.8582715988159
AVG. Time / Prompt,0.7457165431976318
AVG. Tokens / Second,773.304555545002
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,288333
AVG. Output Tokens / Prompt,576.666
Total Emissions,0.028914010317432622
Emissions / 1.000.000 Input Tokens,0.4038551619167906
Emissions / 1.000.000 Output Tokens,0.10027992049967441
Emissions / 10.000 Prompts,0.5782802063486524
