Metric,Value
Model,llama3_1_70b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,1976.7178809642792
AVG. Time / Prompt,3.9534357619285583
AVG. Tokens / Second,153.0182950803519
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,302474
AVG. Output Tokens / Prompt,604.948
Total Emissions,0.17669475136336463
Emissions / 1.000.000 Input Tokens,2.614949480744175
Emissions / 1.000.000 Output Tokens,0.5841650897709048
Emissions / 10.000 Prompts,3.533895027267292
