Metric,Value
Model,llama3_1_8b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,365.7894377708435
AVG. Time / Prompt,0.731578875541687
AVG. Tokens / Second,964.5057062063743
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,352806
AVG. Output Tokens / Prompt,705.612
Total Emissions,0.02721618793721934
Emissions / 1.000.000 Input Tokens,0.4027791202915354
Emissions / 1.000.000 Output Tokens,0.0771420779046256
Emissions / 10.000 Prompts,0.5443237587443868
