Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,391.84343457221985
AVG. Time / Prompt,0.7836868691444397
AVG. Tokens / Second,1020.6474441421042
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,399934
AVG. Output Tokens / Prompt,799.868
Total Emissions,0.03037607175938104
Emissions / 1.000.000 Input Tokens,0.44954302525315654
Emissions / 1.000.000 Output Tokens,0.07595271159586592
Emissions / 10.000 Prompts,0.6075214351876208
