Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,262.09899830818176
AVG. Time / Prompt,0.5241979966163636
AVG. Tokens / Second,1054.3764065632195
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,276351
AVG. Output Tokens / Prompt,552.702
Total Emissions,0.019559317192680236
Emissions / 1.000.000 Input Tokens,0.28946318972162965
Emissions / 1.000.000 Output Tokens,0.0707770812940074
Emissions / 10.000 Prompts,0.39118634385360473
