Metric,Value
Model,llama3_1_70b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,1952.8062620162964
AVG. Time / Prompt,3.905612524032593
AVG. Tokens / Second,156.36522984349781
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,305351
AVG. Output Tokens / Prompt,610.702
Total Emissions,0.17458784812836722
Emissions / 1.000.000 Input Tokens,2.5837688968398753
Emissions / 1.000.000 Output Tokens,0.5717611801774588
Emissions / 10.000 Prompts,3.4917569625673446
