Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,686.8588681221008
AVG. Time / Prompt,1.3737177362442017
AVG. Tokens / Second,521.0473601053945
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,357886
AVG. Output Tokens / Prompt,715.772
Total Emissions,0.05521368938420887
Emissions / 1.000.000 Input Tokens,0.12626159256935549
Emissions / 1.000.000 Output Tokens,0.1542773100490348
Emissions / 10.000 Prompts,1.1042737876841775
