Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,578.6836524009705
AVG. Time / Prompt,1.1573673048019408
AVG. Tokens / Second,489.6768706430539
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,283368
AVG. Output Tokens / Prompt,566.736
Total Emissions,0.04736597456876427
Emissions / 1.000.000 Input Tokens,0.10831559074120109
Emissions / 1.000.000 Output Tokens,0.16715357615808513
Emissions / 10.000 Prompts,0.9473194913752854
