Metric,Value
Model,mistral_nemo_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,575.7691657543182
AVG. Time / Prompt,1.1515383315086365
AVG. Tokens / Second,583.2042074710243
Total Input Tokens,460608
AVG. Input Tokens / Prompt,921.216
Total Output Tokens,335791
AVG. Output Tokens / Prompt,671.582
Total Emissions,0.044718192918212815
Emissions / 1.000.000 Input Tokens,0.09708514163499725
Emissions / 1.000.000 Output Tokens,0.13317269646361224
Emissions / 10.000 Prompts,0.8943638583642564
