Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,414.92989325523376
AVG. Time / Prompt,0.8298597865104675
AVG. Tokens / Second,999.7014115944701
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,414806
AVG. Output Tokens / Prompt,829.612
Total Emissions,0.031830741473795394
Emissions / 1.000.000 Input Tokens,0.47107104340316697
Emissions / 1.000.000 Output Tokens,0.07673645384540098
Emissions / 10.000 Prompts,0.6366148294759079
