Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,691.4709656238556
AVG. Time / Prompt,1.3829419312477111
AVG. Tokens / Second,523.1282555351308
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,361728
AVG. Output Tokens / Prompt,723.456
Total Emissions,0.05544680852817539
Emissions / 1.000.000 Input Tokens,0.12679468490033158
Emissions / 1.000.000 Output Tokens,0.15328315344174462
Emissions / 10.000 Prompts,1.108936170563508
