Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,395.6153030395508
AVG. Time / Prompt,0.7912306060791016
AVG. Tokens / Second,1007.3194766183242
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,398511
AVG. Output Tokens / Prompt,797.022
Total Emissions,0.030378391601155092
Emissions / 1.000.000 Input Tokens,0.44957735716735125
Emissions / 1.000.000 Output Tokens,0.07622974422576814
Emissions / 10.000 Prompts,0.6075678320231018
