Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,264.5248498916626
AVG. Time / Prompt,0.5290496997833252
AVG. Tokens / Second,1054.1693913226147
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,278854
AVG. Output Tokens / Prompt,557.708
Total Emissions,0.021231616069392924
Emissions / 1.000.000 Input Tokens,0.3142119558596576
Emissions / 1.000.000 Output Tokens,0.07613882558397198
Emissions / 10.000 Prompts,0.42463232138785845
