Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,665.6882781982422
AVG. Time / Prompt,1.3313765563964843
AVG. Tokens / Second,532.7613713732604
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,354653
AVG. Output Tokens / Prompt,709.306
Total Emissions,0.053093305330844665
Emissions / 1.000.000 Input Tokens,0.12141273949646159
Emissions / 1.000.000 Output Tokens,0.1497049378712281
Emissions / 10.000 Prompts,1.0618661066168933
