Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,628.1001634597778
AVG. Time / Prompt,1.2562003269195556
AVG. Tokens / Second,573.3177937997147
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,360101
AVG. Output Tokens / Prompt,720.202
Total Emissions,0.050006186353020954
Emissions / 1.000.000 Input Tokens,0.11435317577343711
Emissions / 1.000.000 Output Tokens,0.13886711326272616
Emissions / 10.000 Prompts,1.000123727060419
