Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,390.1690409183502
AVG. Time / Prompt,0.7803380818367004
AVG. Tokens / Second,1018.9301515678058
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,397555
AVG. Output Tokens / Prompt,795.11
Total Emissions,0.02994792299265348
Emissions / 1.000.000 Input Tokens,0.44320674538860577
Emissions / 1.000.000 Output Tokens,0.07533026371861373
Emissions / 10.000 Prompts,0.5989584598530695
