Metric,Value
Model,llama3_1_8b_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,454.68066000938416
AVG. Time / Prompt,0.9093613200187683
AVG. Tokens / Second,760.8966697480813
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,345965
AVG. Output Tokens / Prompt,691.93
Total Emissions,0.03590285604865161
Emissions / 1.000.000 Input Tokens,0.08210195393658211
Emissions / 1.000.000 Output Tokens,0.10377597747937393
Emissions / 10.000 Prompts,0.7180571209730321
