Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,482.18427419662476
AVG. Time / Prompt,0.9643685483932495
AVG. Tokens / Second,781.5165698380584
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,376835
AVG. Output Tokens / Prompt,753.67
Total Emissions,0.03674958113480926
Emissions / 1.000.000 Input Tokens,0.08403822841921549
Emissions / 1.000.000 Output Tokens,0.09752167695359841
Emissions / 10.000 Prompts,0.7349916226961851
