Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,271.02610969543457
AVG. Time / Prompt,0.5420522193908691
AVG. Tokens / Second,1020.691328635707
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,276634
AVG. Output Tokens / Prompt,553.268
Total Emissions,0.021413711206278472
Emissions / 1.000.000 Input Tokens,0.3169068269861105
Emissions / 1.000.000 Output Tokens,0.07740809591835592
Emissions / 10.000 Prompts,0.4282742241255694
