Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,397.8707480430603
AVG. Time / Prompt,0.7957414960861207
AVG. Tokens / Second,990.0828395591594
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,393925
AVG. Output Tokens / Prompt,787.85
Total Emissions,0.029053914993229946
Emissions / 1.000.000 Input Tokens,0.4299760991139682
Emissions / 1.000.000 Output Tokens,0.07375494064410724
Emissions / 10.000 Prompts,0.5810782998645989
