Metric,Value
Model,llama3_1_8b_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,323.6133623123169
AVG. Time / Prompt,0.6472267246246338
AVG. Tokens / Second,1052.6017762865265
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,340636
AVG. Output Tokens / Prompt,681.272
Total Emissions,0.025271514956286198
Emissions / 1.000.000 Input Tokens,0.37399942218238885
Emissions / 1.000.000 Output Tokens,0.0741892077064262
Emissions / 10.000 Prompts,0.505430299125724
