Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,405.2973291873932
AVG. Time / Prompt,0.8105946583747864
AVG. Tokens / Second,1013.5151909922263
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,410775
AVG. Output Tokens / Prompt,821.55
Total Emissions,0.03129798073733819
Emissions / 1.000.000 Input Tokens,0.4631865850340854
Emissions / 1.000.000 Output Tokens,0.076192515945075
Emissions / 10.000 Prompts,0.6259596147467638
