Metric,Value
Model,llama3_1_70b_awq_int4
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,933.0689768791199
AVG. Time / Prompt,1.8661379537582397
AVG. Tokens / Second,344.0881734958737
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,321058
AVG. Output Tokens / Prompt,642.116
Total Emissions,0.15592349724162857
Emissions / 1.000.000 Input Tokens,2.3075505356088937
Emissions / 1.000.000 Output Tokens,0.48565523127169724
Emissions / 10.000 Prompts,3.1184699448325714
