Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,404.3458273410797
AVG. Time / Prompt,0.8086916546821594
AVG. Tokens / Second,1005.799918041301
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,406691
AVG. Output Tokens / Prompt,813.382
Total Emissions,0.031162131382446716
Emissions / 1.000.000 Input Tokens,0.46117611671348235
Emissions / 1.000.000 Output Tokens,0.07662360706887222
Emissions / 10.000 Prompts,0.6232426276489343
