Metric,Value
Model,llama3_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,2655.77019238472
AVG. Time / Prompt,5.311540384769439
AVG. Tokens / Second,110.47153132498876
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,293387
AVG. Output Tokens / Prompt,586.774
Total Emissions,0.4621380529198894
Emissions / 1.000.000 Input Tokens,1.0568083241554678
Emissions / 1.000.000 Output Tokens,1.5751824481653562
Emissions / 10.000 Prompts,9.242761058397788
