Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,266.2068417072296
AVG. Time / Prompt,0.5324136834144593
AVG. Tokens / Second,1045.0557852527375
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,278201
AVG. Output Tokens / Prompt,556.402
Total Emissions,0.021079579832065504
Emissions / 1.000.000 Input Tokens,0.31196193384833
Emissions / 1.000.000 Output Tokens,0.07577104263487731
Emissions / 10.000 Prompts,0.42159159664131013
