Metric,Value
Model,mistral_nemo
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,468.62072134017944
AVG. Time / Prompt,0.9372414426803589
AVG. Tokens / Second,618.3849471514046
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,289788
AVG. Output Tokens / Prompt,579.576
Total Emissions,0.03975019288618826
Emissions / 1.000.000 Input Tokens,0.5552090632891719
Emissions / 1.000.000 Output Tokens,0.13716990657373065
Emissions / 10.000 Prompts,0.7950038577237653
