Metric,Value
Model,llama3_1_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,3240.1281390190125
AVG. Time / Prompt,6.480256278038025
AVG. Tokens / Second,101.28087097794696
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,328163
AVG. Output Tokens / Prompt,656.326
Total Emissions,0.5713594916507534
Emissions / 1.000.000 Input Tokens,1.3065737890370672
Emissions / 1.000.000 Output Tokens,1.7410844356333695
Emissions / 10.000 Prompts,11.427189833015069
