Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,697.3821206092834
AVG. Time / Prompt,1.3947642412185668
AVG. Tokens / Second,507.64995192405746
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,354026
AVG. Output Tokens / Prompt,708.052
Total Emissions,0.05579062554431044
Emissions / 1.000.000 Input Tokens,0.12758091897550045
Emissions / 1.000.000 Output Tokens,0.1575890627928752
Emissions / 10.000 Prompts,1.115812510886209
