Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,601.9530875682831
AVG. Time / Prompt,1.203906175136566
AVG. Tokens / Second,454.8361087506547
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,273790
AVG. Output Tokens / Prompt,547.58
Total Emissions,0.0479472479224339
Emissions / 1.000.000 Input Tokens,0.1096448353573641
Emissions / 1.000.000 Output Tokens,0.17512417517964096
Emissions / 10.000 Prompts,0.958944958448678
