Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,690.3545289039612
AVG. Time / Prompt,1.3807090578079224
AVG. Tokens / Second,519.4982939698973
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,358638
AVG. Output Tokens / Prompt,717.276
Total Emissions,0.05532975130386217
Emissions / 1.000.000 Input Tokens,0.12652700071316034
Emissions / 1.000.000 Output Tokens,0.15427743659027257
Emissions / 10.000 Prompts,1.1065950260772432
