Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,422.6256437301636
AVG. Time / Prompt,0.8452512874603272
AVG. Tokens / Second,1010.740844378896
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,427165
AVG. Output Tokens / Prompt,854.33
Total Emissions,0.032473061019532325
Emissions / 1.000.000 Input Tokens,0.48057688978307744
Emissions / 1.000.000 Output Tokens,0.07601994784107388
Emissions / 10.000 Prompts,0.6494612203906465
