Metric,Value
Model,llama3_1_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,310.4584240913391
AVG. Time / Prompt,0.6209168481826782
AVG. Tokens / Second,1035.410783072926
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,321452
AVG. Output Tokens / Prompt,642.904
Total Emissions,0.024080155477530996
Emissions / 1.000.000 Input Tokens,0.35636819756302257
Emissions / 1.000.000 Output Tokens,0.07491057911455208
Emissions / 10.000 Prompts,0.4816031095506199
