Metric,Value
Model,llama3_1_70b_awq_int4
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,1497.4124853610992
AVG. Time / Prompt,2.9948249707221986
AVG. Tokens / Second,220.02421057718738
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,329467
AVG. Output Tokens / Prompt,658.934
Total Emissions,0.13385269697871563
Emissions / 1.000.000 Input Tokens,1.9809192845853345
Emissions / 1.000.000 Output Tokens,0.4062704215557723
Emissions / 10.000 Prompts,2.6770539395743125
