Metric,Value
Model,llama3_1_70b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,2879.977489233017
AVG. Time / Prompt,5.759954978466034
AVG. Tokens / Second,96.60388007897018
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,278217
AVG. Output Tokens / Prompt,556.434
Total Emissions,0.2515986644572002
Emissions / 1.000.000 Input Tokens,0.5753509395402661
Emissions / 1.000.000 Output Tokens,0.9043252729243727
Emissions / 10.000 Prompts,5.0319732891440045
