Metric,Value
Model,llama3_1_8b_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,260.63099360466003
AVG. Time / Prompt,0.52126198720932
AVG. Tokens / Second,1250.2312004161192
Total Input Tokens,83535
AVG. Input Tokens / Prompt,167.07
Total Output Tokens,325849
AVG. Output Tokens / Prompt,651.698
Total Emissions,0.01783322562033324
Emissions / 1.000.000 Input Tokens,0.21348208080844244
Emissions / 1.000.000 Output Tokens,0.054728495776673367
Emissions / 10.000 Prompts,0.3566645124066648
