Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,405.36541771888733
AVG. Time / Prompt,0.8107308354377747
AVG. Tokens / Second,1007.6414566850416
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,408463
AVG. Output Tokens / Prompt,816.926
Total Emissions,0.030912806773436472
Emissions / 1.000.000 Input Tokens,0.4574862999428227
Emissions / 1.000.000 Output Tokens,0.07568080039914624
Emissions / 10.000 Prompts,0.6182561354687295
