Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,298.20945715904236
AVG. Time / Prompt,0.5964189143180847
AVG. Tokens / Second,991.0349685603145
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,295536
AVG. Output Tokens / Prompt,591.072
Total Emissions,0.02209603448516999
Emissions / 1.000.000 Input Tokens,0.32700469854182995
Emissions / 1.000.000 Output Tokens,0.0747659658558348
Emissions / 10.000 Prompts,0.44192068970339987
