Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,393.13838720321655
AVG. Time / Prompt,0.7862767744064331
AVG. Tokens / Second,1013.6532401095925
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,398506
AVG. Output Tokens / Prompt,797.012
Total Emissions,0.03008022031376757
Emissions / 1.000.000 Input Tokens,0.445164646279729
Emissions / 1.000.000 Output Tokens,0.07548247783914815
Emissions / 10.000 Prompts,0.6016044062753514
