Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,434.96503162384033
AVG. Time / Prompt,0.8699300632476806
AVG. Tokens / Second,671.0332527429829
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,291876
AVG. Output Tokens / Prompt,583.752
Total Emissions,0.03442658612217959
Emissions / 1.000.000 Input Tokens,0.07872604853961525
Emissions / 1.000.000 Output Tokens,0.11794935562423628
Emissions / 10.000 Prompts,0.6885317224435917
