Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,455.0588414669037
AVG. Time / Prompt,0.9101176829338073
AVG. Tokens / Second,301.58517425483615
Total Input Tokens,38185
AVG. Input Tokens / Prompt,76.37
Total Output Tokens,137239
AVG. Output Tokens / Prompt,274.478
Total Emissions,0.02741905799537392
Emissions / 1.000.000 Input Tokens,0.71805834739751
Emissions / 1.000.000 Output Tokens,0.19979056970229978
Emissions / 10.000 Prompts,0.5483811599074784
