Metric,Value
Model,llama3_1_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,2396.6075341701508
AVG. Time / Prompt,4.793215068340301
AVG. Tokens / Second,142.54190355714135
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,341617
AVG. Output Tokens / Prompt,683.234
Total Emissions,0.43514583222526304
Emissions / 1.000.000 Input Tokens,6.439831173510279
Emissions / 1.000.000 Output Tokens,1.273782722245272
Emissions / 10.000 Prompts,8.702916644505262
