Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,708.6948091983795
AVG. Time / Prompt,1.4173896183967591
AVG. Tokens / Second,504.11967939219517
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,357267
AVG. Output Tokens / Prompt,714.534
Total Emissions,0.056790228522580734
Emissions / 1.000.000 Input Tokens,0.12986679165274947
Emissions / 1.000.000 Output Tokens,0.15895738627575662
Emissions / 10.000 Prompts,1.1358045704516146
