Metric,Value
Model,mistral_nemo_fp8
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,349.00983572006226
AVG. Time / Prompt,0.6980196714401246
AVG. Tokens / Second,801.3671002221637
Total Input Tokens,71595
AVG. Input Tokens / Prompt,143.19
Total Output Tokens,279685
AVG. Output Tokens / Prompt,559.37
Total Emissions,0.02720520565925397
Emissions / 1.000.000 Input Tokens,0.3799875083351347
Emissions / 1.000.000 Output Tokens,0.09727087852138645
Emissions / 10.000 Prompts,0.5441041131850795
