Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,688.9125337600708
AVG. Time / Prompt,1.3778250675201416
AVG. Tokens / Second,516.5329160986514
Total Input Tokens,437296
AVG. Input Tokens / Prompt,874.592
Total Output Tokens,355846
AVG. Output Tokens / Prompt,711.692
Total Emissions,0.05537797851360476
Emissions / 1.000.000 Input Tokens,0.12663728575977087
Emissions / 1.000.000 Output Tokens,0.15562343967223113
Emissions / 10.000 Prompts,1.1075595702720953
