Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,293.69792580604553
AVG. Time / Prompt,0.5873958516120911
AVG. Tokens / Second,996.9290698816812
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,292796
AVG. Output Tokens / Prompt,585.592
Total Emissions,0.021455677516593056
Emissions / 1.000.000 Input Tokens,0.31752789682841837
Emissions / 1.000.000 Output Tokens,0.07327858822044377
Emissions / 10.000 Prompts,0.42911355033186116
