Metric,Value
Model,llama3_1_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,500.7172124385834
AVG. Time / Prompt,1.0014344248771667
AVG. Tokens / Second,809.1952701739767
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,405178
AVG. Output Tokens / Prompt,810.356
Total Emissions,0.04152442746269514
Emissions / 1.000.000 Input Tokens,0.614530308308226
Emissions / 1.000.000 Output Tokens,0.10248440799523947
Emissions / 10.000 Prompts,0.8304885492539028
