Metric,Value
Model,llama3_8b
Benchmark,arena-hard-v0.1
Number of GPUs,4
Total Prompts,500
Total Time,295.79699897766113
AVG. Time / Prompt,0.5915939979553223
AVG. Tokens / Second,940.9290863732505
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,278324
AVG. Output Tokens / Prompt,556.648
Total Emissions,0.023573875272521177
Emissions / 1.000.000 Input Tokens,0.3488756311512509
Emissions / 1.000.000 Output Tokens,0.08469939808468252
Emissions / 10.000 Prompts,0.47147750545042355
