Metric,Value
Model,llama3_70b
Benchmark,arena-hard-v0.1
Number of GPUs,8
Total Prompts,500
Total Time,2161.5465471744537
AVG. Time / Prompt,4.323093094348907
AVG. Tokens / Second,138.1746788614934
Total Input Tokens,67571
AVG. Input Tokens / Prompt,135.142
Total Output Tokens,298671
AVG. Output Tokens / Prompt,597.342
Total Emissions,0.39273038238168395
Emissions / 1.000.000 Input Tokens,5.8121144038372075
Emissions / 1.000.000 Output Tokens,1.314926398551195
Emissions / 10.000 Prompts,7.85460764763368
